id,date,statut,contexte_visite,note_globale,recommandation,verbatim
1,29/01/2024,Avocat,Avec des jeunes enfants,5,Oui,"Ma fille de 5 ans et moi passons toujours une bonne journée, surtout quand ça ferme tard, elle adore la nocturne. Pour les petits de 1m20 il y a encore plus de choix. 
Adieu Nationale 7, l'attraction préférée de ma fille."
3,26/01/2024,Avocat,En couple,5,Oui,C'est très simple à utiliser.
4,24/01/2024,Avocat,Entre amis,4,Oui,"Toujours heureux d y passer un moment avec notre pass annuel chaque saison est différente on a adoré le chemin enchanté illuminé au niveau des bouets féerique on se croyait dans un conte 
C était génial à refaire dommage dernier jour difficile de trouver un café sans faire une quête de 30 mn et encore .."
5,24/01/2024,Avocat,Entre amis,4,Oui,le site est facile pour les commandes30
8,20/01/2024,Neutre,Avec des ados,3,Non,IL EST BIEN DOMMAGE QUE QUAND IL PLEUT DE NE TROUVER AUCUNS ENDROITS OU S ASSOIR A L ABRI ! AU PRIX DE L ENTREE CELA ME SEMBLE POURTANT INDISPENSABLE !
9,19/01/2024,Avocat,Avec des jeunes enfants,5,Oui,C est ma 1ere visite avec enfants et petits enfants j ai bien apprécié il y a des attractions pour tous les ages. Et bravo pour les decors du jardin du père Noël c etait magique
10,17/01/2024,Opposant,Avec des ados,2,Non,Suite à une panne nous sommes resté bloqué dans en train en hauteur pendant 20 minutes sans aucune information. Au bout de 20 minutes une personne nous a rejoint sans même nous expliquer ce qui se passait. J’ ai eu une attaque de panique et le technicien n’as pas voulu que je descende du train car il n’avait pas avec lui la clé pour me faire sortir. Cela a fortement impacté ma journée.
11,17/01/2024,Avocat,Avec des ados,4,Oui,"Superbe ambiance à la période de Noel 
""Les jardins merveilleux du Père Noel"" c'est tout simplement magnifique 
Parc très propre"
12,17/01/2024,Avocat,Avec des ados,4,Oui,"Notre visite au Parc à été une belle découverte. L'ambiance de Noel avec ses décorations y été très agréable malgré les longues attentes avant d'accéder aux attractions. Bémol sur les stands de snaking : peu d'ouvert, personnel rare et manque de provision. Si au moins le parc distribué des marrons chauds dans les files d'attentes... le temps passerait plus vite ! Toutatis est TOP !!!"
13,17/01/2024,Opposant,En couple,1,Non,"I went on the last week of 2023. The park naturally had the water rides closed in the winter, which was well communicated. Sadly it seems the park did not reduce the attendance, causing the park to be unacceptably crowded everywhere. 
All main rides were around one hour wait, sometimes going as high as 90 minutes. The most frustrating experience is that even to get snacks (!!!) we had to spend around one hour queueing, and this happened multiple times at different shops in different days. 
After visiting Phantasialand and Efteling I had a certain expectation for my experiences. Parc Astérix is on par (or close to) when it comes to attractions. But the experience is not nearly as good. 
We did fewer attractions per day than anywhere else. 
Overall: I will not be going back."
